# Genetic Algorithm Configuration
# Graph: lastfm_asia/lastfm_asia_edges.csv
# Nodes: 7624, Population: 4096, Generations: 150
# Node Probability: 0,50, Mutation Rate: 0.000130999993416480720043182373046875
# Selection Method: Stochastic Universal Sampling (n=4)
# Recombination Method: OnePointCrossoverThreaded, Intersection Prob: 0,50
# Mutation Method: Mutation, Children/Parent: 2
# Activate Learning: true
# Amount of Learners: 5
# Randomize Learners: true
# Break Fitness: 2147483647
# Worst Possible Fitness: 55612

generation,population_fitness,mean_fitness,mean_size,survivors,offspring,best_fitness,best_size,second_fitness,second_size,worst_fitness,worst_size,best_second_diff,best_worst_diff,best_current_vs_last_diff
63,-2103951,-513,3933,3735,361,-373,3940,-376,3899,-574,3899,3775,3706,3754
64,-2074508,-506,3933,3823,273,-373,3940,-376,3899,-557,3875,3775,3180,0
65,-2037349,-497,3933,3744,352,-371,3972,-373,3940,-549,3998,3669,3284,3079
66,-1998950,-488,3932,3709,387,-363,3899,-368,3910,-547,3856,1096,3715,1092
67,-1966886,-480,3931,3760,336,-363,3899,-363,3978,-533,3977,2430,3749,0
68,-1937777,-473,3930,3819,277,-360,4069,-363,3899,-528,3967,3549,3702,3549
69,-1903514,-464,3929,3728,368,-352,3899,-353,3924,-517,3965,1096,2060,3549
70,-1873326,-457,3929,3803,293,-347,3978,-349,3913,-534,3984,2230,3675,2422
71,-1846552,-450,3929,3813,283,-338,3978,-348,3938,-511,3939,2411,3420,0
72,-1811153,-442,3928,3661,435,-329,3920,-338,3978,-489,3879,2354,1213,3786
73,-1774417,-433,3927,3641,455,-329,3920,-329,3978,-481,3945,2356,3005,2290
74,-1747525,-426,3926,3782,314,-318,3912,-320,3978,-468,3933,2240,1201,1636
75,-1720587,-420,3925,3773,323,-308,3912,-320,3978,-466,3867,2238,997,0
76,-1690392,-412,3925,3656,440,-308,3912,-314,3978,-453,3948,2236,3668,0
77,-1664540,-406,3924,3745,351,-308,3912,-311,3990,-454,3951,3549,3567,0
78,-1633105,-398,3923,3605,491,-298,3883,-308,3912,-446,3910,306,1520,3799
79,-1602089,-391,3923,3584,512,-298,3883,-304,3969,-426,3969,954,3647,3693
80,-1578592,-385,3923,3724,372,-294,3969,-295,3978,-430,3932,2322,3598,948
81,-1549053,-378,3923,3558,538,-279,3969,-284,3943,-415,3930,973,1026,919
82,-1526749,-372,3922,3717,379,-267,3943,-276,3990,-407,3915,3538,1519,975
83,-1498001,-365,3922,3576,520,-267,3943,-276,3990,-404,3912,3538,1265,1158
84,-1473933,-359,3922,3639,457,-267,3943,-270,3990,-398,3883,3534,1082,0
85,-1447435,-353,3922,3570,526,-260,3990,-267,3943,-381,3951,3530,3590,3567
86,-1421661,-347,3922,3578,518,-253,3990,-255,3943,-388,3973,3532,3643,3520
87,-1397586,-341,3922,3611,485,-247,3990,-255,3943,-369,3956,3530,3540,0
88,-1372350,-335,3922,3569,527,-232,3990,-255,3943,-365,3908,3532,3535,3548
89,-1349002,-329,3922,3595,501,-232,3990,-255,3943,-365,3916,3532,3539,0
90,-1324235,-323,3922,3573,523,-232,3990,-249,3930,-352,3942,3549,3552,3563
91,-1304460,-318,3922,3702,394,-215,3990,-244,3926,-356,3938,3498,3558,0
92,-1283522,-313,3922,3688,408,-215,3990,-244,3926,-352,3937,3498,3522,0
93,-1263752,-308,3923,3714,382,-215,3990,-236,3911,-336,3909,3475,3679,0
94,-1238190,-302,3923,3537,559,-215,3990,-227,3935,-336,3915,3527,3518,3537
95,-1215462,-296,3923,3629,467,-215,3990,-227,3935,-322,3897,3527,3475,0
96,-1190620,-290,3923,3547,549,-210,3990,-220,3935,-316,3913,3525,3462,3538
97,-1165254,-284,3923,3549,547,-210,3990,-210,3935,-312,3904,3523,3508,3519
98,-1142447,-278,3924,3576,520,-210,3990,-210,3935,-305,3895,3523,3526,0
99,-1120075,-273,3924,3599,497,-210,3990,-210,3935,-297,3892,3523,3634,0
100,-1100760,-268,3925,3667,429,-201,3990,-207,3944,-292,3923,3514,3552,0
101,-1083167,-264,3925,3699,397,-197,3961,-199,3935,-288,3932,510,455,3531
102,-1061409,-259,3925,3547,549,-188,3961,-192,3990,-282,3936,3531,632,528
103,-1042664,-254,3925,3612,484,-177,3961,-190,3935,-280,3898,522,1856,0
104,-1026111,-250,3925,3697,399,-167,3961,-185,3949,-272,3921,170,632,0
105,-1010606,-246,3926,3724,372,-167,3961,-183,3935,-268,3926,528,615,0
106,-995446,-243,3926,3729,367,-167,3961,-173,3935,-264,3948,522,726,0
107,-980587,-239,3926,3728,368,-167,3961,-173,3935,-262,3925,522,876,0
108,-965965,-235,3926,3728,368,-167,3961,-173,3935,-256,3980,522,1250,0
109,-948190,-231,3926,3580,516,-167,3961,-172,3949,-252,3907,160,1028,388
110,-934743,-228,3927,3747,349,-167,3961,-172,3949,-252,3935,160,779,0
111,-918597,-224,3927,3605,491,-164,3949,-167,3961,-246,3931,164,887,507
112,-902623,-220,3927,3638,458,-160,3961,-162,3942,-246,3983,293,815,503
113,-888183,-216,3927,3682,414,-157,3961,-159,3964,-235,3914,371,661,0
114,-875135,-213,3927,3745,351,-154,3942,-157,3961,-236,3934,293,996,293
115,-862220,-210,3928,3754,342,-153,3942,-157,3961,-229,3915,289,321,0
116,-848721,-207,3928,3692,404,-153,3942,-156,3964,-230,3930,472,716,0
117,-833439,-203,3928,3620,476,-147,3942,-156,3947,-224,3920,335,528,639
118,-821085,-200,3928,3753,343,-147,3942,-150,3961,-222,3901,289,421,0
119,-807729,-197,3928,3695,401,-147,3942,-149,3921,-215,3928,604,509,0
120,-792475,-193,3928,3602,494,-147,3942,-149,3921,-217,3945,604,352,332
121,-780363,-190,3929,3719,377,-143,3942,-146,3921,-212,3923,602,531,0
122,-767441,-187,3929,3707,389,-143,3942,-146,3921,-206,3926,602,498,0
123,-753180,-183,3929,3645,451,-141,3936,-143,3942,-204,3936,539,501,555
124,-740615,-180,3929,3700,396,-140,3944,-141,3936,-198,3933,469,280,469
125,-726565,-177,3930,3608,488,-136,3964,-139,3961,-196,3899,373,920,668
126,-714002,-174,3930,3663,433,-136,3964,-138,3936,-194,3890,529,907,476
127,-702389,-171,3930,3721,375,-136,3964,-136,3961,-188,3943,366,1258,0
128,-691488,-168,3931,3706,390,-130,3964,-135,3946,-184,3950,375,575,0
129,-679953,-166,3931,3624,472,-130,3964,-133,3929,-184,3922,500,543,398
130,-671007,-163,3931,3803,293,-129,3944,-130,3964,-181,3920,368,412,368
131,-662606,-161,3932,3774,322,-124,3968,-128,3937,-181,3923,350,423,357
132,-652221,-159,3932,3620,476,-118,3968,-121,3937,-175,3908,342,700,522
133,-642872,-156,3932,3672,424,-116,3937,-118,3968,-171,3961,344,721,680
134,-634368,-154,3933,3731,365,-114,3937,-118,3968,-171,3907,354,1444,0
135,-626809,-153,3933,3780,316,-114,3937,-114,3968,-169,3929,348,379,0
136,-618558,-151,3933,3732,364,-109,3979,-114,3937,-166,3943,699,724,699
137,-608984,-148,3934,3654,442,-109,3979,-110,3968,-161,3891,707,920,768
138,-599868,-146,3934,3673,423,-109,3979,-109,3945,-160,3933,698,735,639
139,-590244,-144,3934,3659,437,-105,3979,-109,3945,-158,3941,704,736,519
140,-581650,-142,3934,3707,389,-103,3975,-105,3979,-154,3931,66,887,66
141,-573279,-139,3935,3672,424,-103,3975,-105,3979,-157,3922,66,752,0
142,-565159,-137,3935,3756,340,-103,3975,-104,3941,-152,3939,492,661,0
143,-555871,-135,3936,3671,425,-99,3979,-101,3951,-149,3923,844,850,764
144,-545544,-133,3936,3639,457,-94,3951,-97,3975,-147,3930,774,1081,459
145,-537619,-131,3937,3736,360,-94,3951,-96,3979,-145,3932,778,449,0
146,-529150,-129,3937,3740,356,-94,3951,-96,3979,-143,3939,778,355,0
147,-520256,-127,3937,3683,413,-91,3979,-94,3951,-141,3907,786,788,786
148,-510876,-124,3938,3651,445,-91,3979,-94,3951,-138,3944,786,636,0
149,-502892,-122,3938,3753,343,-91,3979,-91,3940,-134,3926,489,881,0
