# Genetic Algorithm Configuration
# Graph: lastfm_asia/lastfm_asia_edges.csv
# Nodes: 7624, Population: 4096, Generations: 150
# Node Probability: 0,50, Mutation Rate: 0.000130999993416480720043182373046875
# Selection Method: Stochastic Universal Sampling (n=4)
# Recombination Method: OnePointCrossoverThreaded, Intersection Prob: 0,50
# Mutation Method: Mutation, Children/Parent: 2
# Activate Learning: true
# Amount of Learners: 5
# Randomize Learners: true
# Break Fitness: 2147483647
# Worst Possible Fitness: 55612

generation,population_fitness,mean_fitness,mean_size,survivors,offspring,best_fitness,best_size,second_fitness,second_size,worst_fitness,worst_size,best_second_diff,best_worst_diff,best_current_vs_last_diff
0,-7994611,-1951,3810,0,4096,-1363,3926,-1383,3866,-2752,3681,3764,3787,-1
1,-7388421,-1803,3820,3119,977,-1247,3888,-1257,3924,-2096,3764,3838,3784,3740
2,-6971672,-1702,3826,3179,917,-1152,3888,-1165,3940,-1949,3808,3812,3858,0
3,-6581251,-1606,3832,3153,943,-1092,3888,-1110,3916,-1852,3737,3820,3771,3770
4,-6245019,-1524,3838,3169,927,-1046,3940,-1088,3873,-1798,3920,3775,3842,3824
5,-6024801,-1470,3842,3351,745,-946,3940,-1042,3895,-1670,3839,3759,3727,0
6,-5826659,-1422,3846,3381,715,-946,3940,-1013,3924,-1597,3763,3852,3808,0
7,-5609177,-1369,3849,3242,854,-927,3924,-946,3940,-1528,3814,3850,3774,3850
8,-5444156,-1329,3853,3417,679,-914,3940,-927,3924,-1500,3812,3852,3838,3852
9,-5229854,-1276,3859,3207,889,-905,3897,-914,3940,-1424,3854,3812,3788,3752
10,-5087728,-1242,3862,3422,674,-890,3876,-905,3897,-1377,3861,3804,3794,3804
11,-4923495,-1202,3866,3304,792,-861,3876,-885,3892,-1385,3884,3818,3250,0
12,-4771710,-1164,3869,3329,767,-825,3892,-832,3913,-1298,3841,3766,3695,3816
13,-4654110,-1136,3872,3456,640,-822,3876,-825,3892,-1258,3849,3812,3785,3812
14,-4545316,-1109,3876,3465,631,-763,3876,-779,3913,-1247,3807,3778,3827,0
15,-4439731,-1083,3879,3478,618,-763,3876,-775,3897,-1242,3879,3784,3702,0
16,-4323116,-1055,3882,3375,721,-754,3932,-763,3876,-1181,3953,3782,3779,3782
17,-4212384,-1028,3885,3397,699,-729,3876,-754,3932,-1198,3849,3780,3841,3780
18,-4099580,-1000,3889,3346,750,-729,3876,-742,3908,-1087,3822,3661,3775,3810
19,-4016795,-980,3891,3555,541,-673,3876,-729,3887,-1081,3864,3778,3715,0
20,-3936771,-961,3894,3533,563,-673,3876,-698,3872,-1077,3863,3886,3758,0
21,-3843870,-938,3897,3454,642,-673,3876,-682,4022,-1044,3893,3811,3864,0
22,-3768661,-920,3899,3568,528,-673,3876,-682,4022,-1012,3871,3811,3726,0
23,-3676993,-897,3903,3428,668,-659,4022,-665,3876,-982,3878,3803,3813,3478
24,-3598534,-878,3906,3492,604,-628,4022,-657,3876,-963,3929,3801,3471,0
25,-3526220,-860,3909,3550,546,-628,4022,-646,3913,-948,3864,3289,3765,0
26,-3453083,-843,3912,3507,589,-628,4022,-646,3913,-928,3899,3289,3734,0
27,-3397071,-829,3913,3651,445,-628,4022,-634,3886,-917,3899,3492,3262,0
28,-3331596,-813,3916,3545,551,-610,3909,-612,3886,-888,3906,3723,3813,3805
29,-3267332,-797,3918,3559,537,-606,3906,-608,3935,-867,3974,3654,3715,3811
30,-3215479,-785,3920,3688,408,-606,3906,-608,3935,-860,3910,3654,3849,0
31,-3166204,-772,3921,3669,427,-579,3886,-603,3909,-853,3965,3719,3801,2346
32,-3111731,-759,3923,3612,484,-579,3886,-590,3935,-822,3946,3680,3767,0
33,-3054793,-745,3925,3593,503,-569,3935,-575,3971,-823,3966,3779,3732,3646
34,-2994400,-731,3927,3557,539,-558,3928,-569,3935,-803,3942,2476,3740,2956
35,-2953283,-721,3928,3722,374,-540,3903,-558,3928,-793,3960,3313,3333,3313
36,-2910938,-710,3929,3735,361,-534,3903,-536,3963,-773,3950,3106,3766,0
37,-2869863,-700,3930,3731,365,-529,3913,-534,3903,-775,3991,3314,3806,3314
38,-2830048,-690,3932,3735,361,-504,3903,-519,3963,-761,3972,3104,3109,3308
39,-2780439,-678,3933,3632,464,-503,3963,-504,3903,-743,3980,3104,3394,3376
40,-2734875,-667,3934,3653,443,-485,3903,-503,3963,-742,3889,3104,3751,3278
41,-2696838,-658,3935,3767,329,-482,3963,-485,3903,-722,3839,3102,3726,3102
42,-2660021,-649,3936,3781,315,-481,3897,-482,3963,-705,3925,3111,3798,3111
43,-2617855,-639,3938,3687,409,-460,3897,-474,3903,-709,3947,3757,3047,0
44,-2580447,-629,3939,3746,350,-447,3903,-460,3897,-685,3944,3755,3493,3755
45,-2546094,-621,3940,3798,298,-447,3903,-460,3897,-690,3960,3755,3746,0
46,-2504087,-611,3941,3707,389,-445,3897,-447,3903,-683,3847,3751,3708,3683
47,-2471054,-603,3942,3800,296,-428,3897,-441,3916,-682,3857,3703,3709,0
48,-2434213,-594,3942,3759,337,-419,3897,-432,3929,-653,3921,3695,2155,0
49,-2402663,-586,3943,3809,287,-411,3929,-419,3897,-645,3883,3689,3700,3689
50,-2371667,-579,3944,3824,272,-411,3929,-419,3897,-633,3998,3689,2825,0
51,-2341198,-571,3944,3829,267,-411,3929,-414,3913,-635,3942,2616,3395,0
52,-2306837,-563,3945,3785,311,-402,3897,-411,3929,-624,3949,3687,2344,3687
53,-2278467,-556,3946,3862,234,-385,3927,-387,4005,-614,3938,3602,3660,3676
54,-2249050,-549,3947,3839,257,-378,3927,-387,4005,-607,3799,3604,3620,0
55,-2212699,-540,3948,3736,360,-378,3927,-387,4005,-599,3964,3604,2654,3642
56,-2176914,-531,3949,3771,325,-366,3927,-385,3927,-583,3944,26,3357,2685
57,-2148833,-524,3949,3871,225,-366,3927,-370,4005,-576,3934,3602,3686,0
58,-2120198,-517,3949,3856,240,-366,3927,-370,4005,-572,3996,3602,3773,0
59,-2087115,-509,3951,3782,314,-356,4005,-366,3927,-572,3930,3600,3072,3476
60,-2051851,-500,3951,3754,342,-356,4005,-366,3927,-551,3939,3600,3364,3501
61,-2018727,-492,3952,3774,322,-356,4005,-359,4054,-547,3913,917,3650,3547
62,-1989480,-485,3953,3839,257,-343,4005,-358,3929,-535,3917,3585,3670,0
63,-1963612,-479,3953,3871,225,-343,4005,-346,3929,-529,3894,3589,3492,0
64,-1932598,-471,3954,3778,318,-336,3929,-343,4005,-520,3922,3589,3337,3654
65,-1907986,-465,3955,3862,234,-315,3929,-333,3997,-516,3981,3147,3530,0
66,-1884034,-459,3955,3882,214,-310,3929,-327,3939,-514,3992,2704,3638,0
67,-1861372,-454,3956,3884,212,-310,3929,-327,3939,-505,3899,2704,3623,0
68,-1835298,-448,3957,3840,256,-310,3929,-312,3997,-504,3913,3145,3679,0
69,-1814292,-442,3957,3913,183,-310,3929,-314,3997,-494,3977,3149,2929,0
70,-1788162,-436,3958,3834,262,-309,3972,-310,3929,-491,3983,3751,3186,3665
71,-1768066,-431,3958,3921,175,-305,4005,-309,3972,-482,3981,3424,3570,3424
72,-1747464,-426,3959,3888,208,-299,4005,-309,3972,-473,3924,3416,2757,0
73,-1725841,-421,3959,3858,238,-299,4005,-300,3937,-468,4010,3459,3376,0
74,-1707152,-416,3959,3921,175,-299,4005,-300,3937,-464,3932,3459,3557,0
75,-1687695,-412,3960,3911,185,-287,3937,-298,3982,-457,3975,2965,3178,3457
76,-1669149,-407,3960,3941,155,-280,3972,-285,3939,-456,4014,3669,3661,3737
77,-1646798,-402,3960,3851,245,-280,3972,-285,3939,-454,4020,3669,3447,3033
78,-1628536,-397,3960,3927,169,-276,3939,-280,3972,-455,3914,3665,3626,3665
79,-1609410,-392,3961,3891,205,-273,3972,-276,3939,-439,3911,3661,3548,3661
80,-1591809,-388,3961,3919,177,-273,3972,-276,3939,-430,3905,3661,3718,0
81,-1574907,-384,3961,3918,178,-273,3972,-276,3939,-439,4026,3661,3732,0
82,-1554088,-379,3962,3854,242,-263,3939,-273,3972,-420,3939,3663,2735,3643
83,-1534950,-374,3962,3887,209,-263,3939,-267,3972,-414,3940,3659,338,2624
84,-1518907,-370,3962,3961,135,-261,3984,-263,3939,-413,4083,921,2648,921
85,-1502307,-366,3963,3930,166,-252,3972,-261,3984,-411,3982,3662,3381,3662
86,-1486505,-362,3963,3936,160,-238,3972,-253,3939,-407,3992,3649,3660,0
87,-1468892,-358,3962,3901,195,-238,3972,-242,3978,-409,4045,2540,3697,0
88,-1451618,-354,3962,3905,191,-238,3972,-242,3978,-396,3886,2540,3610,0
89,-1432958,-349,3962,3866,230,-225,3978,-238,3972,-398,3928,2538,3590,3701
90,-1414653,-345,3962,3886,210,-225,3978,-238,3972,-391,4046,2538,3659,2992
91,-1399478,-341,3963,3936,160,-224,3972,-225,3978,-382,4054,2534,3681,2534
92,-1384478,-338,3963,3942,154,-214,3972,-225,3978,-386,3910,2532,3685,0
93,-1369949,-334,3963,3947,149,-214,3972,-225,3978,-389,3997,2532,2763,0
94,-1351502,-329,3963,3881,215,-200,3972,-225,3984,-369,4015,3652,3511,3688
95,-1337216,-326,3962,3952,144,-200,3972,-216,3984,-369,4053,3646,2906,0
96,-1322927,-322,3962,3939,157,-200,3972,-216,3984,-361,3910,3646,3700,0
97,-1305825,-318,3962,3882,214,-200,3972,-212,3978,-368,3937,2532,3596,2816
98,-1292205,-315,3962,3947,149,-189,3972,-212,3978,-356,3950,2534,2515,0
99,-1278032,-312,3962,3953,143,-189,3972,-206,3978,-355,3959,2532,3651,0
100,-1264800,-308,3963,3970,126,-189,3972,-206,3978,-353,4018,2532,3427,0
101,-1247758,-304,3963,3879,217,-189,3972,-206,3978,-363,3983,2532,2713,3709
102,-1234201,-301,3963,3960,136,-189,3972,-206,3978,-343,3897,2532,3702,0
103,-1219375,-297,3963,3922,174,-189,3972,-201,3984,-334,4000,3638,3621,0
104,-1205936,-294,3963,3957,139,-189,3972,-201,3984,-331,3922,3638,3748,0
105,-1192251,-291,3963,3955,141,-189,3972,-194,3984,-331,3925,3642,1756,0
106,-1178285,-287,3963,3941,155,-189,3972,-194,3984,-330,3980,3642,3660,0
107,-1165627,-284,3963,3953,143,-189,3972,-194,3984,-329,3936,3642,3653,0
108,-1152478,-281,3963,3961,135,-183,3934,-189,3972,-320,3977,3642,3105,3642
109,-1136324,-277,3963,3894,202,-183,3934,-185,3979,-323,4013,2855,2721,2140
110,-1121771,-273,3963,3927,169,-182,4004,-183,3934,-312,4053,2685,2630,2685
111,-1106434,-270,3963,3898,198,-173,4004,-181,4066,-314,3985,3025,3470,3059
112,-1092763,-266,3963,3931,165,-173,4004,-173,4067,-307,3891,2888,2853,0
113,-1080021,-263,3963,3951,145,-165,3939,-173,4004,-305,3929,2666,2391,2666
114,-1064176,-259,3963,3893,203,-164,4067,-165,3939,-302,3902,1616,3569,3435
115,-1050684,-256,3963,3944,152,-152,4067,-165,3939,-303,4064,1610,2262,0
116,-1037584,-253,3963,3942,154,-145,4067,-159,3986,-286,3936,2415,3377,0
117,-1021165,-249,3963,3852,244,-145,4067,-159,3986,-291,3943,2415,3049,3230
118,-1008819,-246,3963,3940,156,-139,4067,-159,3986,-281,3910,2415,3438,0
119,-996088,-243,3963,3944,152,-133,4067,-152,3986,-284,3996,2409,2363,0
120,-982751,-239,3963,3906,190,-133,4067,-147,3986,-278,3953,2401,3057,0
121,-971135,-237,3963,3926,170,-133,4067,-143,3986,-275,3990,2391,3043,0
122,-958312,-233,3963,3932,164,-133,4067,-143,3986,-277,3936,2391,3204,0
123,-945294,-230,3962,3924,172,-133,4067,-143,3986,-264,3924,2391,2749,0
124,-929977,-227,3962,3862,234,-133,4067,-143,3986,-261,3921,2391,2961,0
125,-916733,-223,3962,3904,192,-130,4067,-143,3986,-259,3952,2395,2650,0
126,-903548,-220,3961,3885,211,-130,4067,-143,3986,-251,4009,2395,3099,0
127,-887951,-216,3961,3818,278,-130,4067,-139,3986,-269,3931,2391,3339,0
128,-870299,-212,3961,3781,315,-130,4067,-139,4004,-248,4005,2854,2360,1574
129,-857398,-209,3960,3881,215,-130,4067,-139,4004,-251,3988,2854,2369,0
130,-838675,-204,3960,3731,365,-127,4067,-132,4003,-233,3947,2859,3218,1696
131,-824331,-201,3960,3826,270,-127,4067,-128,3986,-231,3901,2385,3241,0
132,-804327,-196,3960,3673,423,-120,4067,-127,4004,-234,4032,2856,2582,2364
133,-790011,-192,3960,3822,274,-120,4067,-126,3986,-219,3929,2381,1756,0
134,-773381,-188,3960,3736,360,-120,4067,-120,3986,-215,4062,2383,2575,0
135,-760350,-185,3960,3827,269,-118,4067,-120,3986,-212,4016,2375,2357,0
136,-746099,-182,3960,3797,299,-118,4067,-120,3986,-230,3965,2375,3403,0
137,-730296,-178,3960,3687,409,-118,4067,-120,3986,-226,3979,2375,3410,0
138,-715837,-174,3960,3729,367,-118,4067,-120,3986,-208,3930,2383,2927,0
139,-701900,-171,3961,3709,387,-118,4067,-120,3986,-200,3936,2383,3274,0
140,-689499,-168,3961,3745,351,-118,4067,-119,4001,-200,3988,2862,3256,0
141,-678688,-165,3961,3745,351,-117,4017,-118,4067,-190,3936,2851,2805,2851
142,-667947,-163,3962,3751,345,-116,4003,-117,4014,-188,3979,76,3096,78
143,-655069,-159,3963,3646,450,-114,4067,-114,4001,-183,4024,2856,2282,1699
144,-645468,-157,3964,3769,327,-107,4067,-111,4017,-175,3942,2851,2191,0
145,-636263,-155,3965,3759,337,-105,4017,-107,4067,-176,3931,2849,2739,2849
